id,name,translation_key,max_level,weight,type
0,"Protection","enchantment.protect.all",4,10,"armor"
1,"Fire Protection","enchantment.protect.fire",4,5,"armor"
2,"Feather Falling","enchantment.protect.fall",4,5,"armor_feet"
3,"Blast Protection","enchantment.protect.explosion",4,2,"armor"
4,"Projectile Protection","enchantment.protect.projectile",4,5,"armor"
5,"Respiration","enchantment.oxygen",3,2,"armor_head"
6,"Aqua Affinity","enchantment.waterWorker",1,2,"armor_head"
7,"Thorns","enchantment.thorns",3,1,"armor_torso"
8,"Soulbound","enchantment.enderio.soulBound",1,1,"all"
9,"Withering ","enchantment.enderzoo.witherArrow",1,2,"bow"
10,"Decay","enchantment.enderzoo.witherWeapon",1,2,"weapon"
13,"Hazmat","enchantment.protection.hazmat",1,0,"armor"
14,"Radioactivity","enchantment.damage.radioactivity",5,0,"weapon"
15,"Disjunction","enchantment.damage.endermen",5,2,"weapon"
16,"Sharpness","enchantment.damage.all",5,10,"weapon"
17,"Smite","enchantment.damage.undead",5,5,"weapon"
18,"Bane of Arthropods","enchantment.damage.arthropods",5,5,"weapon"
19,"Knockback","enchantment.knockback",2,5,"weapon"
20,"Fire Aspect","enchantment.fire",2,2,"weapon"
21,"Looting","enchantment.lootBonus",3,2,"weapon"
32,"Efficiency","enchantment.digging",5,10,"digger"
33,"Silk Touch","enchantment.untouching",1,1,"digger"
34,"Unbreaking","enchantment.durability",3,5,"breakable"
35,"Fortune","enchantment.lootBonusDigger",3,2,"digger"
45,"XP Boost","enchantment.xpboost",3,2,"breakable"
46,"Auto-Smelt","enchantment.autosmelt",1,2,"breakable"
48,"Power","enchantment.arrowDamage",5,10,"bow"
49,"Punch","enchantment.arrowKnockback",2,2,"bow"
50,"Flame","enchantment.arrowFire",1,2,"bow"
51,"Infinity","enchantment.arrowInfinite",1,1,"bow"
61,"Luck of the Sea","enchantment.lootBonusFishing",3,2,"fishing_rod"
62,"Lure","enchantment.fishingSpeed",3,2,"fishing_rod"
64,"Brilliance","enchantment.wg.gemstonePotency",3,4,"all"
65,"Brittle","enchantment.wg.gemstoneBrittle",3,1,"all"
66,"Fiery Core","enchantment.cluster",4,1,"digger"
67,"Wrath","enchantment.wrath",5,1,"weapon"
68,"Capitalist","enchantment.greedy",1,1,"weapon"
69,"Consuming","enchantment.consuming",1,5,"digger"
70,"Educational","enchantment.educational",5,5,"weapon"
71,"Translucency","enchantment.wg.invisibleGear",2,0,"all"
72,"Voidtouched","enchantment.voidtouched",1,1,"digger"
73,"Impact","enchantment.impact",1,1,"digger"
74,"Unveiling","enchantment.wg.unveiling",1,0,"all"
75,"Stealth","enchantment.wg.stealth",5,0,"armor"
