item,kind,registry,meta,description,hearts,hearts_vs_undead,hearts_vs_arthropod,attack_hp,base_attack_hp,damage_reduction_pct,armor_points,armor_icons,slot,durability,epf_all,epf_conditional,found in,variants,enchant_level,nbt
Apple Oak Pollen,Forestry genome,Forestry:pollenFertile,0,"species treeOak · traits: growthLightlevel, heightSmall, saplingsAverage, fruitApple, yieldLowest, plantTypeNone, sappinessLowest, territoryAverage, leavesNone, maturationFaster, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeOak"",UID1:""forestry.treeOak""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightSmall"",UID1:""forestry.heightSmall""},3:{Slot:3b,UID0:""forestry.saplingsAverage"",UID1:""forestry.saplingsAverage""},4:{Slot:4b,UID0:""forestry.fruitApple"",UID1:""forestry.fruitApple""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLowest"",UID1:""forestry.sappinessLowest""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationFaster"",UID1:""forestry.maturationFaster""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Apple Oak Sapling,Forestry genome,Forestry:sapling,0,"species treeOak · traits: growthLightlevel, heightSmall, saplingsAverage, fruitApple, yieldLowest, plantTypeNone, sappinessLowest, territoryAverage, leavesNone, maturationFaster, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeOak"",UID1:""forestry.treeOak""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightSmall"",UID1:""forestry.heightSmall""},3:{Slot:3b,UID0:""forestry.saplingsAverage"",UID1:""forestry.saplingsAverage""},4:{Slot:4b,UID0:""forestry.fruitApple"",UID1:""forestry.fruitApple""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLowest"",UID1:""forestry.sappinessLowest""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationFaster"",UID1:""forestry.maturationFaster""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Common Drone,Forestry genome,Forestry:beeDroneGE,0,"species speciesCommon · traits: speedSlower, lifespanShorter, fertilityNormal, toleranceNone, boolFalse, toleranceNone, boolFalse, boolFalse, flowersVanilla, floweringSlowest, territoryAverage, effectNone · unanalysed · health 20 / 20",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{MaxH:20,Health:20,IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.speciesCommon"",UID1:""forestry.speciesCommon""},1:{Slot:1b,UID0:""forestry.speedSlower"",UID1:""forestry.speedSlower""},2:{Slot:2b,UID0:""forestry.lifespanShorter"",UID1:""forestry.lifespanShorter""},3:{Slot:3b,UID0:""forestry.fertilityNormal"",UID1:""forestry.fertilityNormal""},4:{Slot:4b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},5:{Slot:5b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},6:{Slot:7b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},7:{Slot:8b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},8:{Slot:9b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},9:{Slot:10b,UID0:""forestry.flowersVanilla"",UID1:""forestry.flowersVanilla""},10:{Slot:11b,UID0:""forestry.floweringSlowest"",UID1:""forestry.floweringSlowest""},11:{Slot:12b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},12:{Slot:13b,UID0:""forestry.effectNone"",UID1:""forestry.effectNone""}]}}"
Forest Princess,Forestry genome,Forestry:beePrincessGE,0,"species speciesForest · traits: speedSlowest, lifespanShorter, fertilityHigh, toleranceNone, boolFalse, toleranceNone, boolTrue, boolFalse, flowersVanilla, floweringSlower, territoryAverage, effectNone · unanalysed · health 20 / 20",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{MaxH:20,Health:20,IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.speciesForest"",UID1:""forestry.speciesForest""},1:{Slot:1b,UID0:""forestry.speedSlowest"",UID1:""forestry.speedSlowest""},2:{Slot:2b,UID0:""forestry.lifespanShorter"",UID1:""forestry.lifespanShorter""},3:{Slot:3b,UID0:""forestry.fertilityHigh"",UID1:""forestry.fertilityHigh""},4:{Slot:4b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},5:{Slot:5b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},6:{Slot:7b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},7:{Slot:8b,UID0:""forestry.boolTrue"",UID1:""forestry.boolTrue""},8:{Slot:9b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},9:{Slot:10b,UID0:""forestry.flowersVanilla"",UID1:""forestry.flowersVanilla""},10:{Slot:11b,UID0:""forestry.floweringSlower"",UID1:""forestry.floweringSlower""},11:{Slot:12b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},12:{Slot:13b,UID0:""forestry.effectNone"",UID1:""forestry.effectNone""}]}}"
Meadows Princess,Forestry genome,Forestry:beePrincessGE,0,"species speciesMeadows · traits: speedSlowest, lifespanShorter, fertilityNormal, toleranceNone, boolFalse, toleranceNone, boolFalse, boolFalse, flowersVanilla, floweringSlower, territoryAverage, effectNone · unanalysed · health 20 / 20",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{MaxH:20,Health:20,IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.speciesMeadows"",UID1:""forestry.speciesMeadows""},1:{Slot:1b,UID0:""forestry.speedSlowest"",UID1:""forestry.speedSlowest""},2:{Slot:2b,UID0:""forestry.lifespanShorter"",UID1:""forestry.lifespanShorter""},3:{Slot:3b,UID0:""forestry.fertilityNormal"",UID1:""forestry.fertilityNormal""},4:{Slot:4b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},5:{Slot:5b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},6:{Slot:7b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},7:{Slot:8b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},8:{Slot:9b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},9:{Slot:10b,UID0:""forestry.flowersVanilla"",UID1:""forestry.flowersVanilla""},10:{Slot:11b,UID0:""forestry.floweringSlower"",UID1:""forestry.floweringSlower""},11:{Slot:12b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},12:{Slot:13b,UID0:""forestry.effectNone"",UID1:""forestry.effectNone""}]}}"
Mundane Larch Pollen,Forestry genome,Forestry:pollenFertile,0,"species treeLarch · traits: growthLightlevel, heightAverage, saplingsLow, fruitNone, yieldLowest, plantTypeNone, sappinessLower, territoryAverage, leavesNone, maturationAverage, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeLarch"",UID1:""forestry.treeLarch""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightAverage"",UID1:""forestry.heightAverage""},3:{Slot:3b,UID0:""forestry.saplingsLow"",UID1:""forestry.saplingsLow""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLower"",UID1:""forestry.sappinessLower""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationAverage"",UID1:""forestry.maturationAverage""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Mundane Larch Sapling,Forestry genome,Forestry:sapling,0,"species treeLarch · traits: growthLightlevel, heightAverage, saplingsLow, fruitNone, yieldLowest, plantTypeNone, sappinessLower, territoryAverage, leavesNone, maturationAverage, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeLarch"",UID1:""forestry.treeLarch""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightAverage"",UID1:""forestry.heightAverage""},3:{Slot:3b,UID0:""forestry.saplingsLow"",UID1:""forestry.saplingsLow""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLower"",UID1:""forestry.sappinessLower""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationAverage"",UID1:""forestry.maturationAverage""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Red Spruce Pollen,Forestry genome,Forestry:pollenFertile,0,"species treeSpruce · traits: growthLightlevel, heightAverage, saplingsAverage, fruitNone, yieldLowest, plantTypeNone, sappinessLowest, territoryAverage, leavesNone, maturationFaster, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeSpruce"",UID1:""forestry.treeSpruce""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightAverage"",UID1:""forestry.heightAverage""},3:{Slot:3b,UID0:""forestry.saplingsAverage"",UID1:""forestry.saplingsAverage""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLowest"",UID1:""forestry.sappinessLowest""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationFaster"",UID1:""forestry.maturationFaster""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Red Spruce Sapling,Forestry genome,Forestry:sapling,0,"species treeSpruce · traits: growthLightlevel, heightAverage, saplingsAverage, fruitNone, yieldLowest, plantTypeNone, sappinessLowest, territoryAverage, leavesNone, maturationFaster, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeSpruce"",UID1:""forestry.treeSpruce""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightAverage"",UID1:""forestry.heightAverage""},3:{Slot:3b,UID0:""forestry.saplingsAverage"",UID1:""forestry.saplingsAverage""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLowest"",UID1:""forestry.sappinessLowest""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationFaster"",UID1:""forestry.maturationFaster""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Silver Birch Pollen,Forestry genome,Forestry:pollenFertile,0,"species treeBirch · traits: growthLightlevel, heightSmall, saplingsAverage, fruitNone, yieldLowest, plantTypeNone, sappinessLowest, territoryAverage, leavesNone, maturationFaster, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeBirch"",UID1:""forestry.treeBirch""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightSmall"",UID1:""forestry.heightSmall""},3:{Slot:3b,UID0:""forestry.saplingsAverage"",UID1:""forestry.saplingsAverage""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLowest"",UID1:""forestry.sappinessLowest""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationFaster"",UID1:""forestry.maturationFaster""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
